product_key,catalog_status,brand,series,model,btu_options,product_type,inverter_status,primary_catalog_source,secondary_catalog_source,brand_source,source_count,retail_price_from,marketplace_status,review_signal_status,best_review_count,review_slug,last_checked,next_action,notes
candy-vpct-vpgt-series,online_native_seed,CANDY,VPCT/VPGT Series,,9000/12000/18000/23200 BTU,wall_mounted_air_conditioner,inverter_motor,shopee,needs_retail_or_brand_source,,1,7995,shopee_matched,review_qualified,10400,candy-vpct-vpgt-air-conditioner,2026-06-15,find_catalog_source,"รีวิวเสร็จแล้วจาก online-native Shopee seed แต่ต้องย้อนหา source catalog ที่นิ่งกว่าเพื่อทำฐานตลาดไทย"
tcl-savein-ai-series,online_native_seed,TCL,SaveIN AI Series,,9200/12000/18100/24200 BTU,wall_mounted_air_conditioner,full_dc_inverter,shopee,needs_retail_or_brand_source,,1,8590,shopee_matched,review_qualified,9200,tcl-savein-ai-air-conditioner,2026-06-15,expand_review_and_find_catalog_source,"มี pilot แล้ว ควรขยายรีวิวเต็มและหา source official/retailer"
xiaomi-mijia-air-inverter-eco,online_native_seed,Xiaomi,Mijia Air Inverter Eco,,9000/12000/18000 BTU,wall_mounted_air_conditioner,full_dc_inverter,shopee,needs_retail_or_brand_source,,1,7924,shopee_matched,review_qualified,4300,xiaomi-mijia-air-inverter-eco,2026-06-14,find_catalog_source,"รีวิวเสร็จแล้วจาก online-native Shopee seed ต้องหา source catalog เพิ่มเพื่อยืนยันชื่อรุ่นและสเปก"
midea-celest-msce,marketplace_seed_needs_catalog,Midea,Celest,MSCE,9360/12000/18000/24000 BTU,wall_mounted_air_conditioner,inverter_motor,shopee,needs_retail_or_brand_source,,1,7490,shopee_matched,review_qualified,193,midea-celest-msce-air-conditioner,2026-06-15,find_catalog_source,"รีวิวเสร็จแล้วจาก Shopee seed ต้องหา source catalog เพิ่มเพื่อยืนยันชื่อรุ่นและสเปก"
panasonic-cs-cu-yn9ykt,catalog_candidate,PANASONIC,YN9YKT,CS/CU-YN9YKT,9220 BTU,wall_mounted_air_conditioner,non_inverter_or_unspecified,HomePro,,Panasonic Thailand,1,13320,not_matched,needs_marketplace_check,1,,2026-06-16,match_marketplace,"HomePro first page seed มีราคาออนไลน์และฟรีติดตั้ง ต้องหา source brand และ marketplace เพิ่ม"
sharp-ah-x10bb,catalog_candidate,SHARP,AH-X10BB,AH-X10BB,9300 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Sharp Thailand,1,,not_matched,needs_marketplace_check,0,,2026-06-16,check_stock_and_match,"HomePro first page seed แสดงสินค้าหมด ต้องหา source brand และ marketplace เพิ่ม"
mitsubishi-heavy-duty-dxk10cxv-w1,catalog_candidate,MITSUBISHI HEAVY DUTY,DXK10CXV-W1,DXK10CXV-W1,9175 BTU,wall_mounted_air_conditioner,unspecified,HomePro,,Mitsubishi Heavy Duty Thailand,1,18100,not_matched,needs_marketplace_check,13,,2026-06-16,match_marketplace,"HomePro first page seed คะแนนรีวิวมากกว่า 5 ใช้เป็น candidate ได้ แต่ยังต้องจับคู่ marketplace"
daikin-ftkq09yv2s,catalog_candidate,DAIKIN,FTKQ,FTKQ09YV2S,9200 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Daikin Thailand,1,17600,not_matched,needs_marketplace_check,3,,2026-06-16,match_marketplace,"HomePro first page seed ต้องหา source official และ marketplace เพิ่ม"
mitsubishi-msy-gy09vf,catalog_candidate,MITSUBISHI,MSY-GY,MSY-GY09VF,9554 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Mitsubishi Electric Thailand,1,25200,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed รุ่น inverter 9000 BTU class"
lg-icq11mn-ju1,catalog_candidate,LG,ICQ11MN,ICQ11MN.JU1,9200 BTU,wall_mounted_air_conditioner,inverter,HomePro,,LG Thailand,1,16490,not_matched,needs_marketplace_check,1,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ LG official"
daikin-ftkc09yv2s,catalog_candidate,DAIKIN,FTKC,FTKC09YV2S,9200 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Daikin Thailand,1,20900,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed รุ่น inverter 9000 BTU class"
mitsubishi-heavy-duty-dxk10yyp-w1,catalog_candidate,MITSUBISHI HEAVY DUTY,DXK10YYP-W1,DXK10YYP-W1,9585 BTU,wall_mounted_air_conditioner,unspecified,HomePro,,Mitsubishi Heavy Duty Thailand,1,20400,not_matched,needs_marketplace_check,1,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ official"
daikin-ftm09pv2s,catalog_candidate,DAIKIN,FTM,FTM09PV2S,9200 BTU,wall_mounted_air_conditioner,non_inverter_or_unspecified,HomePro,,Daikin Thailand,1,15890,not_matched,needs_marketplace_check,1,,2026-06-16,match_marketplace,"HomePro first page seed ราคาเริ่มต่ำกว่า Daikin inverter บางรุ่น"
panasonic-cs-cu-yu9zkt,catalog_candidate,PANASONIC,YU9ZKT,CS/CU-YU9ZKT,9080 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Panasonic Thailand,1,16090,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed inverter 9000 BTU class"
lg-ice11mn-ju1,catalog_candidate,LG,ICE11MN,ICE11MN.JU1,9200 BTU,wall_mounted_air_conditioner,inverter,HomePro,,LG Thailand,1,15490,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ LG official"
sharp-ah-au-xp10ymb,catalog_candidate,SHARP,AH/AU-XP10YMB,AH/AU-XP10YMB,9000 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Sharp Thailand,1,14990,not_matched,needs_marketplace_check,8,,2026-06-16,match_marketplace,"HomePro first page seed รีวิวใน HomePro มากกว่า 5 เหมาะจับคู่ marketplace"
panasonic-cs-cu-xu9akt,catalog_candidate,PANASONIC,XU9AKT,CS/CU-XU9AKT,9518 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Panasonic Thailand,1,22730,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed รุ่นสูงกว่า YU/TU ต้องเทียบ feature"
mitsubishi-msy-jy09vf,catalog_candidate,MITSUBISHI,MSY-JY,MSY-JY09VF,9212 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Mitsubishi Electric Thailand,1,22600,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed inverter 9000 BTU class"
panasonic-cs-cu-tu9akt,catalog_candidate,PANASONIC,TU9AKT,CS/CU-TU9AKT,9024 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Panasonic Thailand,1,16540,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ YU/XU/XKU ในบทเปรียบเทียบ"
carrier-42tvba010,catalog_candidate,CARRIER,42TVBA,42TVBA010,9200 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Carrier Thailand,1,21900,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed Carrier inverter 9000 BTU class"
mitsubishi-msy-ky09vf,catalog_candidate,MITSUBISHI,MSY-KY,MSY-KY09VF,9212 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Mitsubishi Electric Thailand,1,20600,not_matched,needs_marketplace_check,2,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ MSY-GT/JY/GY"
lg-ieq10en-ju1,catalog_candidate,LG,IEQ10EN,IEQ10EN.JU1,9200 BTU,wall_mounted_air_conditioner,inverter,HomePro,,LG Thailand,1,17990,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ ICQ/ICE"
mitsubishi-msy-gt09vf,catalog_candidate,MITSUBISHI,MSY-GT,MSY-GT09VF,9554 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Mitsubishi Electric Thailand,1,24000,not_matched,needs_marketplace_check,86,,2026-06-16,match_marketplace,"HomePro first page seed รีวิว HomePro สูง เหมาะเป็นตัวหลักกลุ่ม Mitsubishi"
beko-bseog090,catalog_candidate,BEKO,BSEOG,BSEOG090,8900 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Beko Thailand,1,17490,not_matched,needs_marketplace_check,0,,2026-06-16,merge_duplicate_and_match,"HomePro first page seed พบซ้ำหลาย SKU ต้องตรวจว่าเป็นรุ่นเดียวหรือชุดโปรต่างกัน"
daikin-ftkz09vv2s,catalog_candidate,DAIKIN,FTKZ,FTKZ09VV2S,8500 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Daikin Thailand,1,27990,not_matched,needs_marketplace_check,4,,2026-06-16,match_marketplace,"HomePro first page seed รุ่นราคาสูง ต้องเช็ก feature official"
samsung-ar10dyeaawknst,catalog_candidate,SAMSUNG,AR10DY,AR10DYEAAWKNST,10000 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Samsung Thailand,1,29990,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed Samsung 10000 BTU class"
carrier-42tvab010abi,catalog_candidate,CARRIER,42TVAB,42TVAB010ABI,9200 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Carrier Thailand,1,28400,not_matched,needs_marketplace_check,0,,2026-06-16,match_marketplace,"HomePro first page seed Carrier inverter 9000 BTU class"
panasonic-cs-cu-xku9wkt,catalog_candidate,PANASONIC,XKU9WKT,CS/CU-XKU9WKT,8876 BTU,wall_mounted_air_conditioner,inverter,HomePro,,Panasonic Thailand,1,20950,not_matched,needs_marketplace_check,4,,2026-06-16,match_marketplace,"HomePro first page seed ต้องเทียบกับ XU/TU/YU"
